# flnt: net longwave flux at top of model
# flntc: clear-sky net longwave flux at top of model
# fsnt: net shortwave flux at top of model
# fsntc: clear-sky net shortwave flux at top of model
# lwcf: longwave cloud forcing
# swcf: shortwave cloud forcing

lat,flnt,flntc,fsnt,fsntc,lwcf,swcf
23.08900524,3.7934985,2.6954105,4.664471,0.94995075,-1.0980891,3.7170181
24.03141361,3.8206983,2.7701254,4.761876,0.98242486,-1.0505733,3.7819777
24.97382199,3.8715658,2.8262029,4.8803887,1.0041199,-1.0453632,3.8788502
25.91623037,3.9904768,2.9258199,5.105739,1.0043327,-1.0646555,4.10386
26.85863874,4.066114,3.0153294,5.259641,0.9686507,-1.0507826,4.29341
27.80104712,4.0735636,3.0409558,5.285798,0.9468331,-1.0326076,4.3414583
28.7434555,4.109549,3.052833,5.3554263,0.98105264,-1.0567168,4.3770027
29.68586387,4.200258,3.087161,5.37219,0.9960835,-1.113096,4.3787684
30.62827225,4.268631,3.0984523,5.3320355,1.0075994,-1.1701787,4.327272
31.57068063,4.318816,3.08223,5.458046,1.0774735,-1.2365859,4.3835125
32.51308901,4.356676,3.07201,5.5876746,1.1746383,-1.2846642,4.416093
33.45549738,4.3353806,3.025857,5.5536594,1.1457893,-1.3095239,4.41103
34.39790576,4.31802,2.9702754,5.6325245,1.2102026,-1.3477445,4.425609
35.34031414,4.2915583,2.9857924,5.851966,1.4897197,-1.3057667,4.365727
36.28272251,4.291319,2.967041,5.996503,1.4556133,-1.3242769,4.5443387
37.22513089,4.351678,2.9624217,6.103621,1.4053096,-1.3892566,4.701701
38.16753927,4.4253154,2.9809644,6.2809916,1.4975921,-1.4443498,4.7867813
39.10994764,4.4705863,3.0167937,6.446418,1.5432,-1.4537932,4.9066296
40.05235602,4.433146,3.0375752,6.265171,1.3531257,-1.39557,4.915642
40.9947644,4.4043927,3.0867705,6.1578918,1.3081355,-1.3176221,4.853568
41.93717277,4.325758,3.1380394,5.952687,1.3115093,-1.187721,4.64522
42.87958115,4.2861557,3.21567,5.7787924,1.408969,-1.0704846,4.374144
43.82198953,4.2541647,3.3129764,5.5765085,1.4692088,-0.9411892,4.111753
44.76439791,4.207557,3.3488638,5.3399057,1.4963439,-0.85869443,3.8482258
45.70680628,4.1609592,3.3744934,5.0956388,1.5662643,-0.78646594,3.5342643
46.64921466,4.118315,3.408389,4.923835,1.7346028,-0.70992565,3.1943877
47.59162304,4.059443,3.4252625,4.7948017,1.947976,-0.63417953,2.8522215
48.53403141,3.9792786,3.428116,4.5592184,2.0245132,-0.5511621,2.5403364
49.47643979,3.931817,3.44125,4.4318137,2.149357,-0.4905672,2.2882235
50.41884817,3.9217958,3.4385996,4.2507024,2.0759897,-0.48319563,2.1805058
51.36125654,3.9461567,3.4501188,4.1129065,2.063771,-0.49603754,2.0549245
52.30366492,3.9331567,3.4230874,3.9257796,1.9767814,-0.51006776,1.9547509
53.2460733,3.9398084,3.417648,3.8492491,1.9449406,-0.5221605,1.9099153
54.18848168,3.962981,3.4372191,3.848709,1.984623,-0.5257616,1.8695916
55.13089005,3.9621294,3.449601,3.7140749,1.9434575,-0.5125285,1.7759694
56.07329843,3.9332886,3.461448,3.4411392,1.9248788,-0.47184005,1.5215427
57.01570681,3.9059339,3.4791343,3.3490229,2.0369947,-0.42679965,1.3171659
57.95811518,3.8818567,3.459555,3.1805186,1.9542171,-0.42230204,1.2312192
58.90052356,3.855514,3.448785,3.0737877,1.9047866,-0.40672958,1.1737084
59.84293194,3.7967768,3.3992572,3.002824,1.992118,-0.39751875,1.0153033
60.78534031,3.7279918,3.4026015,3.119752,2.433453,-0.32539037,0.69079185
61.72774869,3.6174638,3.3726552,3.0228682,2.5022268,-0.24480851,0.5249529
62.67015707,3.5101085,3.3277414,2.8575983,2.2982721,-0.1823676,0.5633146
63.61256545,3.420943,3.2714915,2.6924422,2.1245074,-0.14945067,0.5716387
64.55497382,3.3335638,3.2353106,2.5940325,2.190464,-0.098253116,0.40714845
65.4973822,3.2455835,3.2203412,2.4954789,2.2110088,-0.025242455,0.28786767
66.43979058,3.201743,3.234688,2.6062536,2.3921487,0.032944586,0.21730097
67.38219895,3.210524,3.2867067,2.7666526,2.6326256,0.07618314,0.13701588
68.32460733,3.2323027,3.3519905,2.8681777,2.8368585,0.119686686,0.03412902
69.26701571,3.3250387,3.4976861,3.243337,3.334546,0.17264792,-0.08855
70.20942408,3.3929005,3.667692,3.3871083,3.5553012,0.27479136,-0.16566195
71.15183246,3.422484,3.8256285,3.3504999,3.623163,0.4031445,-0.27016714
72.09424084,3.4693694,3.9861815,3.4114392,3.813998,0.5168115,-0.4001127
73.03664921,3.5000207,4.1708283,3.5258224,4.2013097,0.6708081,-0.6729713
73.97905759,3.5401301,4.404066,3.735278,4.681255,0.86393636,-0.9434078
74.92146597,3.629662,4.6258664,3.8827922,5.1341147,0.9962048,-1.248693
75.86387435,3.7589972,4.866328,4.1934814,5.8510303,1.1073306,-1.6548078
76.80628272,3.9238248,5.147295,4.6337314,6.6415286,1.2234702,-2.005043
77.7486911,4.0602665,5.2326145,4.689758,6.659531,1.1723475,-1.9672318
78.69109948,4.1356053,5.2341237,4.7903104,6.7533517,1.0985186,-1.9606595
79.63350785,4.213251,5.283991,4.8503904,6.9470005,1.0707392,-2.0942612
80.57591623,4.2891126,5.3520484,5.0160275,7.326174,1.0629352,-2.3077328
81.51832461,4.3738003,5.450815,5.05408,7.363294,1.0770141,-2.306935
82.46073298,4.5042973,5.6154037,5.2948017,7.7082233,1.1111066,-2.4111617
83.40314136,4.6983066,5.8464,5.6397734,8.184818,1.1480929,-2.542784
84.34554974,4.8383656,6.0088468,5.917011,8.622446,1.170482,-2.7031279
85.28795812,4.909536,6.0862675,5.9054356,8.644385,1.1767316,-2.7366474
86.23036649,4.9270315,6.125334,5.8443546,8.611062,1.1983024,-2.764413
87.17277487,4.9117303,6.1333814,5.8042927,8.572172,1.2216522,-2.7655916
88.11518325,4.887233,6.133726,5.7733626,8.507032,1.2464932,-2.7314105
89.05759162,4.876665,6.137003,5.81851,8.452206,1.2603389,-2.6314945
90,5.0139136,6.149844,5.896153,8.479282,1.1359289,-2.580959
