# relative_pr_ann: ratio of change in annual mean precipitation as (Plio_Prisitne - PI)/(Plio_Pristine - Plio_Polluted)
# relative_pr_djf: ratio of change in DJF mean precipitation as (Plio_Prisitne - PI)/(Plio_Pristine - Plio_Polluted)
# relative_pr_jja: ratio of change in JJA mean precipitation as (Plio_Prisitne - PI)/(Plio_Pristine - Plio_Polluted)
# aerosol_pr_ann: change in annual mean precipitation in mm/day as (Plio_Pristine - Plio_Polluted)
# aerosol_pr_djf: change in DJF mean precipitation in mm/day as (Plio_Pristine - Plio_Polluted)
# aerosol_pr_jja: change in JJA mean precipitation in mm/day as (Plio_Pristine - Plio_Polluted)
# bc_pr_ann: change in annual mean precipitation in mm/day as (Plio_Pristine - PI)
# bc_pr_djf: change in DJF mean precipitation in mm/day as (Plio_Pristine - PI)
# bc_pr_jja: change in JJA mean precipitation in mm/day as (Plio_Pristine - PI)


lat,relative_pr_ann,relative_pr_djf,relative_pr_jja,aerosol_pr_ann,aerosol_pr_djf,aerosol_pr_jja,bc_pr_ann,bc_pr_djf,bc_pr_jja
-49.47644,1.0427634,0.53840214,0.5063594,0.12754188,0.124446884,0.11729303,0.20865944,0.09175714,0.2864275
-48.53403,0.7221921,0.12788227,0.76527286,0.14003958,0.14501452,0.12995008,0.19927031,0.07391285,0.29494292
-47.59162,2.0873802,-0.083357915,0.5030452,0.1432443,0.15365037,0.13635667,0.19221249,0.05899865,0.30524933
-46.649216,-0.47565162,-2.5975287,0.77748394,0.13812687,0.14985473,0.13554938,0.17936844,0.03978637,0.30725858
-45.706806,-0.9868337,-3.2135992,0.70270693,0.13028398,0.13789064,0.1317646,0.17289208,0.034251705,0.31107324
-44.764397,0.2894249,-2.9494631,2.1518083,0.12086108,0.10812227,0.1261087,0.16218358,0.03298659,0.30134714
-43.82199,-0.6891966,1.6989574,-15.164161,0.105034456,0.058251876,0.12333695,0.13749737,0.02068882,0.26501766
-42.87958,10.7489805,0.45893165,-1.3471657,0.090306275,0.025606029,0.12483929,0.12028379,0.020678792,0.23239748
-41.937172,0.5351272,0.41025242,-56.828518,0.07759244,0.014742249,0.12579502,0.111156024,0.041785456,0.20404378
-40.994766,1.3224361,-0.3062617,-0.019459061,0.06743542,0.006174173,0.12713954,0.102904454,0.06106357,0.17560062
-40.052357,-1.3274086,0.08833464,0.023906019,0.057532284,-0.014209401,0.12924834,0.09655868,0.068259865,0.15186511
-39.109947,0.3056003,3.4640925,-3.7781677,0.046390995,-0.030483875,0.11693675,0.098567285,0.07773536,0.1413156
-38.167538,0.26035482,-43.019363,2.5112646,0.034166336,-0.03905597,0.102606975,0.10462467,0.0936657,0.1424684
-37.225132,0.97809434,-2.6141973,0.4594318,0.030438658,-0.028211614,0.10064638,0.09710883,0.104281515,0.12274676
-36.282722,-0.43835714,0.16076533,-0.08009197,0.035108585,-0.006824133,0.0940706,0.09813855,0.12819642,0.109912895
-35.340313,5.197363,-0.4278246,-1.486068,0.031568773,0.012211833,0.07202216,0.1091357,0.1650579,0.110988736
-34.397907,-0.73154515,-0.43175778,-1.1274077,0.014788623,0.008748482,0.040426172,0.10825215,0.19171257,0.09421632
-33.455498,-0.49451727,9.572468,0.6772816,-0.002486214,0.005953655,0.018375393,0.10500786,0.21618955,0.07584368
-32.51309,0.7655057,-0.1873743,-0.39455768,-0.01675178,0.005416223,-0.004153485,0.09152893,0.204294,0.06300778
-31.57068,-5.50255,-0.2963812,7.598504,-0.027761668,0.011925765,-0.034497943,0.07320151,0.18892063,0.050021205
-30.628273,-0.76716524,-2.6298492,1.8727891,-0.02395933,0.020921009,-0.042657237,0.040207613,0.131536,0.0318402
-29.685863,-0.03512895,2.0810137,0.45311314,-0.014881704,0.024075024,-0.035120398,0.020263284,0.08515511,0.02602496
-28.743456,-10.504292,-2.0595102,-0.08845862,-0.011556793,0.015291018,-0.03529846,-0.000234897,0.035154223,0.023666076
