# totcloud: total cloud fraction
# lowcloud: low-level cloud fraction
# medcloud: med-level cloud fraction
# highcloud: high-level cloud fraction

lat,totcloud,lowcloud,medcloud,highcloud
-8.010471204,-0.012187168,-0.006123299,-0.010120878,-0.013310025
-7.068062827,-0.010037852,-0.005582107,-0.007850078,-0.00980181
-6.12565445,-0.007758432,-0.004874898,-0.004983064,-0.005879235
-5.183246073,-0.005502337,-0.004633638,-0.002038551,-0.002465462
-4.240837696,-0.004159082,-0.005200089,0.000110046,-0.000127905
-3.298429319,-0.004173158,-0.006594992,0.001555154,0.000738692
-2.356020942,-0.004630307,-0.00770927,0.00303318,0.000513382
-1.413612565,-0.004912766,-0.008671233,0.004299087,0.000304821
-0.471204188,-0.004355443,-0.008384801,0.005815578,0.000373912
0.471204188,-0.003910666,-0.008296939,0.00721029,0.001036951
1.413612565,-0.002627417,-0.007207579,0.008666707,0.001771735
2.356020942,-0.000694581,-0.005340043,0.009470232,0.002566616
3.298429319,0.000461596,-0.003455038,0.009162929,0.003224361
4.240837696,0.000682552,-0.002537939,0.007893514,0.003168083
5.183246073,0.000791825,-0.001982339,0.006705395,0.00295277
6.12565445,0.000269483,-0.001957401,0.005308023,0.002175716
7.068062827,-0.000635114,-0.002510366,0.002907245,0.000760808
8.010471204,-0.001783952,-0.002896642,-0.0001524,-0.000894422
8.952879581,-0.002935863,-0.003314094,-0.002470242,-0.001922517
9.895287958,-0.003524034,-0.00258574,-0.00302489,-0.002821234
10.83769634,-0.003798145,-0.001609048,-0.003000221,-0.003774088
11.78010471,-0.004474485,-0.001169154,-0.002943069,-0.004690488
12.72251309,-0.005225912,-0.001068548,-0.002915996,-0.005365583
13.66492147,-0.005920213,-0.000792309,-0.003218129,-0.006103357
14.60732984,-0.006942449,-0.000884232,-0.003784403,-0.007155131
15.54973822,-0.007861923,-0.001137201,-0.004405501,-0.008207792
16.4921466,-0.008626695,-0.001359065,-0.005114146,-0.009079377
17.43455497,-0.008944584,-0.001915323,-0.005756374,-0.009135122
18.37696335,-0.009108435,-0.002428697,-0.006106642,-0.008836309
19.31937173,-0.009148074,-0.002703362,-0.006294452,-0.008436261
20.2617801,-0.009637348,-0.003514612,-0.00638053,-0.008194598
21.20418848,-0.009536171,-0.003684778,-0.00636652,-0.007862926
22.14659686,-0.009397496,-0.004226169,-0.006447481,-0.007183127
23.08900524,-0.008889521,-0.004512015,-0.006516817,-0.006468003
24.03141361,-0.0083802,-0.004707202,-0.006629145,-0.00593072
24.97382199,-0.00816742,-0.005067191,-0.007181583,-0.005607969
25.91623037,-0.009137488,-0.006530589,-0.00787317,-0.005395161
26.85863874,-0.009885064,-0.007663349,-0.008543261,-0.005084773
27.80104712,-0.009932061,-0.008109993,-0.008982279,-0.004493806
28.7434555,-0.009829796,-0.008415601,-0.0096789,-0.003767147
29.68586387,-0.00983968,-0.008622009,-0.01042289,-0.003321241
30.62827225,-0.010373803,-0.008938245,-0.01121365,-0.00362338
31.57068063,-0.011435494,-0.009699428,-0.011894349,-0.004063909
32.51308901,-0.012225463,-0.010165463,-0.012316037,-0.004170528
33.45549738,-0.012652838,-0.011109023,-0.012119873,-0.003637371
34.39790576,-0.012956991,-0.011872958,-0.012156957,-0.003685936
35.34031414,-0.012795227,-0.012701962,-0.012301532,-0.002877976
36.28272251,-0.013168383,-0.013986268,-0.012928386,-0.002146612
37.22513089,-0.014097406,-0.015480567,-0.014021542,-0.002338917
38.16753927,-0.01523851,-0.017340789,-0.015066549,-0.002670996
39.10994764,-0.015794598,-0.018988943,-0.015515068,-0.002873191
40.05235602,-0.015522089,-0.019490127,-0.015489674,-0.002309759
40.9947644,-0.015297743,-0.019554935,-0.015325578,-0.002347208
41.93717277,-0.014437848,-0.019197665,-0.015134798,-0.00186789
42.87958115,-0.013312934,-0.018906657,-0.014879177,-0.001087329
43.82198953,-0.011918338,-0.018622784,-0.013874378,-2.33E-05
44.76439791,-0.01112354,-0.018318096,-0.013445957,0.001000812
45.70680628,-0.010128915,-0.017390074,-0.013021888,0.001976675
46.64921466,-0.009075518,-0.016432576,-0.012554778,0.0031337
47.59162304,-0.008346546,-0.01563348,-0.012220536,0.004202563
48.53403141,-0.007809531,-0.014980187,-0.011885185,0.004895505
49.47643979,-0.007651145,-0.014648058,-0.011573129,0.005450361
50.41884817,-0.007612325,-0.014969328,-0.011483546,0.006095794
51.36125654,-0.007431,-0.015083883,-0.011629118,0.00693452
52.30366492,-0.007252549,-0.015103582,-0.011826816,0.007545387
53.2460733,-0.007353119,-0.015571614,-0.011654054,0.007813733
54.18848168,-0.007451357,-0.016013421,-0.011604126,0.007975155
55.13089005,-0.007314891,-0.015767444,-0.011577157,0.008006518
56.07329843,-0.0069536,-0.014985919,-0.011652721,0.00796222
57.01570681,-0.006878917,-0.014110435,-0.011763701,0.007582205
57.95811518,-0.006931143,-0.013972695,-0.011833082,0.007474201
58.90052356,-0.007082425,-0.014455129,-0.011768834,0.007815253
59.84293194,-0.007417927,-0.015535008,-0.011430752,0.008446916
60.78534031,-0.007143925,-0.014940287,-0.010885271,0.009117771
61.72774869,-0.006262605,-0.014439536,-0.009867884,0.010248986
62.67015707,-0.005479887,-0.014290071,-0.00846136,0.011544321
63.61256545,-0.005225265,-0.014910148,-0.007359999,0.012257492
64.55497382,-0.005207517,-0.015753068,-0.006815498,0.012460741
65.4973822,-0.004973997,-0.016432352,-0.006318561,0.012861721
66.43979058,-0.005198814,-0.017190227,-0.005430574,0.013230013
67.38219895,-0.00539135,-0.018217716,-0.004571115,0.013281082
68.32460733,-0.005499808,-0.01889852,-0.0035076,0.012895712
69.26701571,-0.005856889,-0.01952227,-0.002602398,0.012178201
70.20942408,-0.005552194,-0.018655075,-0.000816508,0.011557906
71.15183246,-0.004479798,-0.016269807,0.000827207,0.011608756
72.09424084,-0.003524888,-0.014130339,0.00193444,0.011782228
73.03664921,-0.002321073,-0.011630103,0.002679451,0.012137017
73.97905759,-0.000475362,-0.008636941,0.003705348,0.013198576
74.92146597,0.000486301,-0.007512713,0.004479188,0.014631758
75.86387435,0.002218901,-0.005540224,0.004922784,0.016435964
76.80628272,0.005534857,-0.001097673,0.004519749,0.017130487
77.7486911,0.006828006,0.001110883,0.003843004,0.01725839
78.69109948,0.007548655,0.002841084,0.003510905,0.017274976
79.63350785,0.008708911,0.004955361,0.003475843,0.0179706
80.57591623,0.008966436,0.005003958,0.003524861,0.019039763
81.51832461,0.010156624,0.006493742,0.003517208,0.020456344
82.46073298,0.010451483,0.007798294,0.003931714,0.022055529
83.40314136,0.009562111,0.008106929,0.003308591,0.022714103
84.34554974,0.009914359,0.009406171,0.002469222,0.022931477
85.28795812,0.010238109,0.0091701,0.002564614,0.023578273
86.23036649,0.011833813,0.010379478,0.004902959,0.025724322
87.17277487,0.013062007,0.010946086,0.008306934,0.027568702
88.11518325,0.014588075,0.012046004,0.01130588,0.029898724
89.05759162,0.013944888,0.009310641,0.014799584,0.0318188
90,0.01103891,0.003888017,0.017290244,0.032540083
